,AUROC,AUPRC,Distribution similarity with ground-truth,Difference between KO and WT,Overlap with known motifs,Replicates correlation,Replicates overlap,Conserved motif bias,Sequencing depth bias,Modification level bias,Speed,Memory efficiency
Max,1,1,1,1,1,1,1,1,1,1,1,1
Min,0,0,0,0,0,0,0,0,0,0,0,0
NanoSPA-retrain,0.66,0.05,0.8,0.795203034833979,0.087,0.523,0.423,0.993,0.432,0.500500500500501,0.875319186404861,0.968525130458665
m6Anet-retrain,0.6,0.01,0.531,1,0.094,0.92,0.4345,0,0.996,0.992992992992993,0.704763581931848,0.824004394397144
TandemMod-retrain,0.76,0.06,0.885,0,0.2,0.8533,0.306,0.887,0.99,0.98998998998999,0.622611605177424,0.825798773230797
Dinopore-retrain,0.61,0.03,0.607,0.877794076310201,0.134,0.8466,0.53,0.99,0,0,0.827155058554196,0
SingleMod-retrain,0.39,0.01,0.526,0.858141353156128,0.323,0.72667,0.28,0.89,1,0.997997997997998,0,0.995001373249107
EpiNano-retrain,0.35,0.01,0.622,0.852165224600863,0.09,0.31,0.374,0.925,0.998,0.999299299299299,0.445364092630096,0.960725075528701
NanoMUD,0.6,0.01,0.615,0.84062633606629,0.0905,0.303,0.377,0.924,0.9987,1,1,0.893380939302389
NanoRMS,0.72,0.15,0.599,NA,0.0793,0.593,0.0648,1,0.83,0.83983983983984,0.895482962049837,0.949391192895725
PsiNanopore,0.85,0.29,0.715,NA,0.0787,0.366,0.0402,0.692,0.976,0.994994994994995,0.171171964427225,1
