,AUROC,AUPRC,Distribution similarity with ground-truth,Difference between KO and WT,Overlap with known motifs,Replicates correlation,Replicates overlap,Conserved motif bias,Sequencing depth bias,Modification level bias,Speed,Memory efficiency
Max,1,1,1,1,1,1,1,1,1,1,1,1
Min,0,0,0,0,0,0,0,0,0,0,0,0
NanoSPA-retrain,0.46,0.04,0.814,0.945264109312279,0.08,0.316,0.29293,0.93,0.997,0.96,0.879256106587713,0.966609436869793
m6Anet-retrain,0.56,0,0.539,0.995321264321982,0.07,0.643,0.307,0,0.01,0.982,0.70679126572909,0.826197932031523
TandemMod-retrain,0.46,0.01,0.916,0,0.0798,0.443,0.1435,0.98,0.9994,0.986,0.617135455218357,0.821800338248255
Dinopore-retrain,0.66,0,0.656,0.981843315522237,0.035,0.533,0.51122,0.84,0.992,0.965,0.836324944485566,0
SingleMod-retrain,0.59,0.01,0.676,0.951032777733472,0.1,0.573,0.365,0.955,0.993,0.988,0,0.994039428092928
EpiNano-retrain,0.54,0,0.675,0.937475077757397,0.0772,0.366,0.2618,1,1,1,0.454108068097705,0.962523339312839
CHEUI,0.56,0,0.537,1,0.0689,0.806,0.434136,0.642,0.95,0.8167,0.590951147298298,1
Tombo,0.47,0,0.697,0.884121540792727,0.09,0.776,0.371648,0.828,0.98,0.92,1,0.995688525761654
Tombo_com,0.52,0,0.8,NA,0.0984,0.673,0.4633,0.94,0.997,0.98,0.999074759437454,0.899491161752661
